course_id;codigo;turma;descricao;horario;professor
"1";"EGC5020";"10316";"Redes Sociais e Virtuais";"5.1830-2 / AUX-ALOCAR
7.1010-2 / AUX-ALOCAR";"Marcio Vieira de Souza"
"1";"EPS7042";"04316";"Introdução a Pesquisa Operacional";"4.1830-2 / CSE-CSE009
6.1830-2 / CSE-CSE009";"Lynceo Falavigna Braghirolli"
"1";"FIL7102";"01316";"Estudos Filosóficos";"4.2020-2 / CSE-CSE012";"Maria Alice da Silva"
"1";"INE7001";"02316";"Estatística para Administradores I";"2.2020-2 / CSE-CSE011
4.2020-2 / CSE-CSE011";"Adriano Ferreti Borgatto"
"1";"INE7002";"03316";"Estatística para Administradores II";"2.1830-2 / CSE-CSE001
4.1830-2 / CSE-CSE001";"Adriano Ferreti Borgatto"
"1";"MTM3100";"01316";"Pré-Cálculo";"3.2020-2 / EF1-EFI405
6.2020-2 / EF1-EFI405";"Eduardo Tengan"
"1";"MTM3561";"03316";"Matemática Financeira";"2.2020-2 / EF1-EFI201
5.2020-2 / EF1-EFI201";"Giovanni Maria Arrigone"
"1";"PSI7002";"04316";"Psicologia Organizacional";"2.1830-2 / CSE-CSE009
4.2020-2 / CSE-CSE009";"Narbal Silva"
"1";"SPO7001";"01316";"Ciência Política";"6.1830-2 / CSE-CSE012";"Professor Não Informado"
"1";"SPO7003";"04316";"Sociologia Aplicada";"6.2020-2 / CSE-CSE009";"Professor Não Informado"
"2";"CAD5103";"01302";"Administração I";"3.0820-2 / CSE-CSE201
5.0820-2 / CSE-CSE201";"Maria Aparecida Silva Alves"
"2";"CCN5119";"04302";"Contabilidade Superior";"3.0820-2 / CSE-CSE205
5.0820-2 / CSE-CSE205";"Darci Schnorrenberger"
"2";"CCN5120";"04302";"Contabilometria";"4.1010-2 / CSE-CSE205
6.1010-2 / CSE-CSE205";"Alex Mussoi Ribeiro"
"2";"CCN5137";"04302";"Contabilidade de Custos";"3.1010-2 / CSE-CSE205
5.1010-2 / CSE-CSE205";"Altair Borgert"
"2";"CCN5139";"05302";"Análise de Custos";"3.0820-2 / CSE-CSE206
5.0820-2 / CSE-CSE206";"Altair Borgert"
"2";"CCN5140";"06302";"Contabilidade Gerencial";"2.1010-2 / CSE-CSE207
5.0820-2 / CSE-CSE207";"Ilse Maria Beuren"
"2";"CCN5141";"06302";"Técnicas de Pesquisa em Contabilidade";"2.0820-2 / CSE-CSE207
4.0820-2 / CSE-CSE207";"Irineu Afonso Frey"
"2";"CCN5147";"08302";"Perícia Contábil";"3.0820-2 / CSE-CSE210
6.0820-2 / CSE-CSE210";"Denise Isabel Rizzi"
"2";"CCN5171";"05302";"Contabilidade Pública I";"4.0820-2 / CSE-CSE206
6.0820-2 / CSE-CSE206";"Neuton Alcedir de Lima Amaral"
"2";"CCN5172";"06302";"Contabilidade Pública II";"4.1010-2 / CSE-CSE207
6.1010-2 / CSE-CSE207";"Neuton Alcedir de Lima Amaral"
"2";"CCN5180";"06302";"Contabilidade e Finanças";"3.1010-2 / CSE-CSE207
5.1010-2 / CSE-CSE207";"Valdirene Gasparetto
Darci Schnorrenberger"
"2";"CCN5181";"07302";"Simulação Gerencial I";"2.0820-2 / CSE-CSE116";"Pedro Jose Von Mecheln"
"2";"CCN5182";"08302";"Simulação Gerencial II";"2.1010-2 / CSE-CSE116";"Pedro Jose Von Mecheln"
"2";"CCN5183";"07302";"Contabilidade Atuarial";"3.1010-2 / CSE-CSE209";"Roque Brinckmann"
"2";"CCN5184";"07302";"Contabilidade Avançada";"4.1010-2 / CSE-CSE209
6.1010-2 / CSE-CSE209";"Suliani Rover"
"2";"CCN5185";"07302";"Sistemas de Informação Contábil";"5.0820-4 / CSE-CSE116";"Sergio Murilo Petri"
"2";"CCN5186";"07302";"Teoria da Contabilidade";"2.1010-2 / CSE-CSE209
4.0820-2 / CSE-CSE209";"Joisse Antonio Lorandi"
"2";"CCN5231";"04302";"Tópicos Especiais de Contabilidade I";"2.1010-2 / CSE-CSE210";"Maria Denize Henrique Casagrande"
"2";"CCN5232";"04302";"Tópicos Especiais de Contabilidade II";"2.0820-2 / CSE-CSE205";"Denize Demarche Minatti Ferreira"
"2";"CCN5246";"09302";"Tópicos Especiais de Contabilidade Societária";"6.1010-2 / CSE-CSE210";"José Alonso Borba"
"2";"CCN5301";"08302";"Atividades Complementares";"";"Orion Augusto Platt Neto"
"2";"CCN5303";"05302";"Análise das Demonstrações Contábeis";"3.1010-2 / CSE-CSE206
5.1010-2 / CSE-CSE206";"Suliani Rover"
"2";"CCN5318";"07302";"Auditoria Contábil I";"3.0820-2 / CSE-CSE209
6.0820-2 / CSE-CSE209";"Professor Não Informado"
"2";"CCN5320";"08302";"Auditoria Contábil II";"2.0820-2 / CSE-CSE210
5.1010-2 / CSE-CSE210";"Ernesto Fernando Rodrigues Vicente"
"2";"CCN5321";"05302";"Contabilidade Tributária I";"2.1010-2 / CSE-CSE206
4.1010-2 / CSE-CSE206";"Viviane Theiss"
"2";"CCN5322";"06302";"Contabilidade Tributária II";"3.0820-2 / CSE-CSE207
6.0820-2 / CSE-CSE207";"Viviane Theiss"
"2";"CCN5323";"08302";"Planejamento Tributário";"3.1010-2 / CSE-CSE210
4.1010-2 / CSE-CSE210";"Sergio Murilo Petri"
"2";"CCN5325";"08302";"Controladoria";"4.0820-2 / CSE-CSE210
5.0820-2 / CSE-CSE210";"Valmir Emil Hoffmann"
"2";"CCN5501";"07302";"Programa de Intercâmbio I";"";"Erves Ducati"
"2";"CCN5502";"08302";"Programa de Intercâmbio II";"";"Erves Ducati"
"2";"CCN6000";"01302";"Contabilidade Introdutória I";"2.1010-2 / CSE-CSE201
4.1010-2 / CSE-CSE201";"Fernando Richartz
Luiza Santangelo Reis"
"2";"CCN6001";"02302";"Contabilidade Introdutória II";"2.1010-2 / CSE-CSE202
4.1010-2 / CSE-CSE202";"Alcindo Cipriano Argolo Mendes"
"2";"CCN6002";"03302";"Contabilidade Intermediária I";"2.1010-2 / CSE-CSE203
4.1010-2 / CSE-CSE203";"Sandra Rolim Ensslin"
"2";"CCN6004";"03302";"Matemática Financeira aplicada a Contabilidade";"3.1010-2 / CSE-CSE203
5.1010-2 / CSE-CSE203";"Cleyton de Oliveira Ritta"
"2";"CCN6005";"03302";"Contabilometria";"3.0820-2 / CSE-CSE116
6.0820-2 / CSE-CSE116";"Roque Brinckmann"
"2";"CCN9501";"09302";"Governança nas Organizações";"7.0820-2 / CSE-CSE211";"Ernesto Fernando Rodrigues Vicente"
"2";"CNM5145";"02302";"Teoria Econômica";"3.1010-2 / CSE-CSE202
5.0820-2 / CSE-CSE202";"Professor Não Informado"
"2";"CNM5305";"03302";"Mercado de Capitais";"2.0820-2 / EF1-EFI305
6.1010-2 / EF1-EFI405";"Professor Não Informado"
"2";"CNM5305";"05302";"Mercado de Capitais";"2.0820-2 / AUX-ALOCAR
6.1010-2 / AUX-ALOCAR";"Alexandre Schwinden Garcia"
"2";"DIR5972";"03302";"Legislação Social e Previdenciária";"4.0820-2 / CSE-CSE203
5.0820-2 / CSE-CSE203";"Juliana Wulfing"
